0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:18:05 +0100] "POST /Grasshopper/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:18:05 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:18:05 +0100] "GET /Grasshopper/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:18:05 +0100] "GET /Grasshopper/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:18:05 +0100] "GET /Grasshopper/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:18:05 +0100] "GET /Grasshopper/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:18:05 +0100] "GET /Grasshopper/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:18:07 +0100] "GET /Grasshopper/Registrierung.jsp HTTP/1.1" 200 4857
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:18:10 +0100] "GET /Grasshopper/Tourismusverbandregistrierung.jsp HTTP/1.1" 200 6024
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:24:22 +0100] "POST /Grasshopper/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:24:22 +0100] "GET /Grasshopper/userLogged.jsp HTTP/1.1" 200 4220
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:24:23 +0100] "GET /Grasshopper/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:24:23 +0100] "GET /Grasshopper/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:24:23 +0100] "GET /Grasshopper/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:24:23 +0100] "GET /Grasshopper/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:24:23 +0100] "GET /Grasshopper/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:24:45 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 200 4640
127.0.0.1 - - [17/Dec/2013:14:29:29 +0100] "GET / HTTP/1.1" 404 951
